String,Category
[235U],1
[2H]O[2H],1
[Au][P](c1ccccc1)(c1ccccc1)c1ccccc1,1
[Cd]12([O]=C(O1)C)[O]=C(O2)C,1
[cH-]1cccc1,1
[Co]1(C#[O])(C#[O])(C#[O])C(=O)[Co] (C#[O])(C#[O])(C#[O])C1=O,1
[Co]Oc1ccccc1,1
[Cr]1[N](c1ccccc1)=C(C)C=C(C)O1,1
[Cr]1N(c1ccccc1)C(C)=CC(C)=[O]1,1
[Cu+2].[O-]S(=O)(=O)[O-],1
[Cu]([n]1ccccc1)([n]1ccccc1)(Cl)Cl,1
[Fe]12345678([cH]9[cH]1[cH]2[cH]3[cH]4 9)[cH]1[cH]5[cH]6[cH]7[cH]81,1
[Gd]1[O]=C(C)C=C(C)O1,1
[Mn][n]1c[nH]cc1,1
[Mn]n1cncc1,1
[Ni](C#[O])(C#[O])(C#[O])C#[O],1
[Ni]1[NH2]CC[NH2]1,1
[Ni]=C1N(C)C=CN1C,1
[OH3+],1
[Pb](CC)(CC)(CC)CC,1
[Pd]1234(C[CH]1=[CH2]2)C[CH]3=[CH2]4,1
[Rh]123[CH]4=[CH]1CC[CH]2=[CH]3CC4,1
[Ru]12345[c]6(C(C)C)[cH]1[cH]2[c]3(C) [cH]4[cH]56,1
[Ti]123[CH2]=[CH]1[CH]2=[CH2]3,1
[Zn]([OH2])([OH2])([OH2])([OH2]) ([OH2])[OH2],1
[Zr]1234[cH]5[cH]1[cH]2[c]13[c]45cccc1,1
C#N,1
C*1*C*C*C*C*C1,1
c1(=O)[nH]cccc1,1
c1(=O)cccc1,1
C1(=O)NC(=O)NC=C1,1
c12ccccc1C(=C)c1ccccc12,1
c12ccccc1C(=O)c1ccccc1C2(=O),1
C1=CC=CC1,1
c1c(N(=O)=O)cccc1,1
c1cc2ccccc2cc1,1
c1ccc[nH]1,1
c1ccccc1,1
C1CCCCC1,1
c1ccccc1,1
c1ccccn=O,1
c1ccccn{+1}1CC(=O)O,1
c1cccs1,1
C1OC1CC,1
C=1CCCCC1,1
CC,1
CC(=O)C,1
"CC(=O)NCCc1c[nH]c2ccc(OC)cc12""",1
CC(=O)O,1
CC(=O)OCCC(/C)=C\C[C@H](C(C)=C)CCC=C,1
CC(C)(C)CC,1
CC(C)[C@@]12C[C@@H]1[C@@H](C)C(=O)C2,1
CC(C)CC(=O),1
CC(CC)C,1
CC(O)C,1
CC1=C(C(=O)C[C@@H]1OC(=O)[C@@H]2[C@H](C2(C)C)/C=C(\C)/C(=O)OC)C/C=C\C=C,1
CC[C@H](O1)CC[C@@]12CCCO2,1
CCC(=O)O{-1},1
CCC(=O)O{-},1
"CCc1c[n+]2ccc3c4ccccc4[nH]c3c2cc1""",1
"CCC[C@@H](O)CC/C=C/C=C/C#CC#C/C=C/CO""",1
CCN(CC)CC,1
CN1CCC[C@H]1c2cccnc2,1
CN=C=O,1
COCc1cc(C=O)ccc1O,1
F/C=C/F,1
F/C=C\F,1
N#N,1
N[C@@H](C)C(=O)O,1
N[C@H](C)C(=O)O,1
O1C=C[C@H]([C@H]1O2)c3c2cc(OC)c4c3OC(=O)C5=C4CCC(=O)5,1
O=C(OCC)C,1
O=C1C=CC(=O)C=C1,1
O=C=O,1
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)1,1
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H]2[C@@H]1c3c(O)c(OC)c(O)cc3C(=O)O2,1
OCCc1c(C)[n+](cs1)Cc2cnc(C)nc2N,1
